latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.1824,105.98947,295.85,0.45,0.63,2020-11-29,1750,N20,VIIRS,n,2,285.7,0.52,N,2
21.18117,105.99219,299.5,0.36,0.57,2020-12-04,1756,N20,VIIRS,n,2,284.16,0.86,N,2
21.18151,105.98873,295.15,0.36,0.57,2020-12-04,1756,N20,VIIRS,n,2,283.15,0.59,N,0
21.18366,105.99075,296.67,0.45,0.63,2020-12-05,1918,N20,VIIRS,n,2,283.23,0.63,N,0
21.18516,105.99043,295.71,0.45,0.63,2020-12-05,1918,N20,VIIRS,n,2,283.08,0.52,N,0
21.18361,105.99315,295.77,0.45,0.47,2020-12-06,1859,N20,VIIRS,n,2,285.39,0.47,N,0
21.18402,105.99195,302.65,0.45,0.39,2020-12-08,1821,N20,VIIRS,n,2,286.1,0.68,N,0
21.18108,105.99296,301.95,0.45,0.39,2020-12-08,1821,N20,VIIRS,n,2,287.77,0.82,N,2
21.18841,105.93086,295.64,0.45,0.47,2020-12-30,1809,N20,VIIRS,n,2,280.71,0.34,N,0
21.18729,105.93017,296.9,0.46,0.63,2020-12-31,1750,N20,VIIRS,n,2,278.93,0.47,N,0
21.18117,105.99226,300.1,0.72,0.76,2020-12-31,1930,N20,VIIRS,n,2,279.62,1.23,N,2
21.1807,105.99175,300.23,0.72,0.76,2020-12-31,1930,N20,VIIRS,n,2,279.94,1.2,N,2
21.18086,105.8551,327.09,0.52,0.5,2021-01-12,0636,N20,VIIRS,n,2,292.74,2.84,D,0
21.18158,105.99334,304.85,0.4,0.37,2021-01-14,1828,N20,VIIRS,n,2,285.6,0.79,N,2
21.18233,105.99181,295.62,0.38,0.36,2021-01-19,1834,N20,VIIRS,n,2,283.68,0.33,N,2
21.16063,105.86742,300.39,0.38,0.36,2021-01-19,1834,N20,VIIRS,n,2,281.68,0.29,N,0
21.18566,105.99463,301.23,0.45,0.63,2021-01-22,1918,N20,VIIRS,n,2,285.51,0.81,N,0
21.18401,105.99426,306.49,0.46,0.39,2021-01-29,1847,N20,VIIRS,n,2,286.43,1.52,N,0
21.18046,105.99355,315.52,0.46,0.39,2021-01-29,1847,N20,VIIRS,n,2,286.32,1.52,N,2
21.18335,105.99268,298.72,0.38,0.36,2021-02-04,1834,N20,VIIRS,n,2,288.39,0.63,N,2
21.19552,105.97979,298.14,0.38,0.36,2021-02-04,1834,N20,VIIRS,n,2,287.65,0.42,N,0
21.16052,105.87024,306.96,0.55,0.43,2021-02-05,1815,N20,VIIRS,n,2,287.42,0.98,N,0
21.18109,105.9918,301.71,0.54,0.42,2021-02-05,1815,N20,VIIRS,n,2,288.27,0.59,N,2
21.18353,105.99267,296.82,0.36,0.57,2021-02-06,1756,N20,VIIRS,n,2,286.78,0.4,N,0
21.09775,105.99963,336.82,0.39,0.36,2021-02-20,0605,N20,VIIRS,n,2,302.02,2.26,D,0
21.10104,105.99905,332.79,0.39,0.36,2021-02-20,0605,N20,VIIRS,n,2,300.81,2.26,D,0
21.18136,105.99285,309.4,0.4,0.37,2021-03-13,1840,N20,VIIRS,n,2,290.03,1.21,N,2
21.17511,105.93356,302.96,0.4,0.37,2021-04-20,1828,N20,VIIRS,n,2,292.65,0.69,N,0
21.48617,105.99769,333.47,0.54,0.51,2021-05-04,0637,N20,VIIRS,n,2,292.83,2.43,D,0
21.08234,105.94672,332.46,0.39,0.36,2021-05-11,0605,N20,VIIRS,l,2,302.34,5.57,D,0
21.09519,106.07922,337.32,0.4,0.37,2021-06-17,0612,N20,VIIRS,n,2,303.09,2.78,D,0
21.07991,105.9734,331.72,0.39,0.36,2021-06-17,0612,N20,VIIRS,n,2,300.87,5.76,D,0
21.10098,106.00085,333.36,0.39,0.37,2021-06-17,0612,N20,VIIRS,n,2,301.46,6.99,D,0
21.10267,105.98898,337.97,0.39,0.37,2021-06-17,0612,N20,VIIRS,n,2,304.87,6.77,D,0
21.16328,106.03696,333.59,0.4,0.37,2021-06-17,0612,N20,VIIRS,l,2,304.68,7.41,D,0
21.17299,105.96185,347.69,0.39,0.36,2021-06-17,0612,N20,VIIRS,n,2,299.24,2.77,D,0
21.17439,105.85368,332.84,0.39,0.36,2021-06-17,0612,N20,VIIRS,l,2,303.57,3.62,D,0
21.17554,105.83811,332.95,0.39,0.36,2021-06-17,0612,N20,VIIRS,l,2,303.28,3.65,D,0
21.20128,105.99202,335.13,0.39,0.37,2021-06-17,0612,N20,VIIRS,l,2,305.79,3.98,D,0
21.20571,105.99904,334.37,0.39,0.37,2021-06-17,0612,N20,VIIRS,l,2,304.82,6.98,D,0
21.20407,105.9877,334.76,0.39,0.37,2021-06-17,0612,N20,VIIRS,l,2,305.03,3.98,D,0
21.22965,105.999,331.61,0.4,0.37,2021-06-17,0612,N20,VIIRS,l,2,302.2,4.8,D,0
21.41842,105.89851,330.03,0.39,0.36,2021-06-17,0612,N20,VIIRS,l,2,302.15,3.07,D,0
21.42509,105.89741,330.52,0.39,0.36,2021-06-17,0612,N20,VIIRS,l,2,302.12,5.23,D,0
21.10546,105.98466,335.61,0.39,0.37,2021-06-17,0612,N20,VIIRS,n,2,303.84,4.23,D,0
21.03301,106.02742,330.26,0.39,0.37,2021-06-17,0612,N20,VIIRS,l,2,301.88,2.46,D,0
21.04123,106.06089,335.72,0.4,0.37,2021-06-17,0612,N20,VIIRS,n,2,302.55,3.8,D,0
21.09185,106.07977,330.58,0.4,0.37,2021-06-17,0612,N20,VIIRS,l,2,302.03,2.78,D,0
21.18364,105.99409,307.86,0.41,0.37,2021-06-17,1841,N20,VIIRS,n,2,293.08,0.47,N,0
21.16562,105.92873,330.43,0.47,0.4,2021-06-18,0553,N20,VIIRS,l,2,303.39,3.5,D,0
21.16615,106.03961,332.23,0.47,0.4,2021-06-18,0553,N20,VIIRS,l,2,304.27,8.71,D,0
21.16461,106.03072,331.75,0.47,0.4,2021-06-18,0553,N20,VIIRS,l,2,303.28,7.02,D,0
21.14678,105.9278,332.27,0.47,0.4,2021-06-18,0553,N20,VIIRS,n,2,302.06,7.01,D,0
21.17698,105.90785,331.22,0.47,0.4,2021-06-18,0553,N20,VIIRS,l,2,303.01,4.06,D,0
21.46017,105.88967,336.56,0.47,0.4,2021-06-18,0553,N20,VIIRS,l,2,303.31,10.2,D,0
21.17588,106.01177,306.76,0.56,0.69,2021-06-20,1744,N20,VIIRS,n,2,286.42,0.8,N,0
21.18133,105.99514,306.93,0.56,0.69,2021-06-20,1744,N20,VIIRS,n,2,286.59,0.82,N,2
21.18521,105.9927,314.01,0.44,0.63,2021-07-11,1750,N20,VIIRS,n,2,290.86,0.7,N,0
21.46807,105.89259,335.96,0.38,0.36,2021-07-14,0606,N20,VIIRS,l,2,302.53,2.94,D,0
21.18033,105.99306,308.25,0.53,0.42,2021-07-15,1816,N20,VIIRS,n,2,294.63,1.2,N,2
21.18127,105.93896,306.8,0.53,0.42,2021-07-15,1816,N20,VIIRS,n,2,293.78,0.7,N,0
21.18221,105.99114,309.7,0.53,0.42,2021-07-15,1816,N20,VIIRS,n,2,294.04,1.24,N,2
21.18291,105.94137,308.09,0.53,0.42,2021-07-15,1816,N20,VIIRS,n,2,293.85,0.79,N,0
21.32143,106.09888,320.21,0.52,0.42,2021-07-15,1816,N20,VIIRS,n,2,293.7,3.8,N,0
21.18033,105.99329,305.06,0.35,0.57,2021-07-16,1757,N20,VIIRS,n,2,281.15,0.67,N,2
21.17411,105.85406,331.66,0.39,0.36,2021-07-19,0612,N20,VIIRS,n,2,296.06,3.1,D,0
21.46184,105.8898,332.73,0.47,0.4,2021-07-20,0553,N20,VIIRS,l,2,299.39,7.34,D,0
21.20279,105.99767,336.86,0.47,0.4,2021-07-20,0553,N20,VIIRS,l,2,297.1,6.13,D,0
21.42291,105.89478,335.21,0.44,0.38,2021-07-24,0618,N20,VIIRS,n,2,301.88,5.37,D,0
21.47993,105.86128,331.22,0.44,0.38,2021-07-24,0618,N20,VIIRS,l,2,303.25,3.38,D,0
21.18047,105.99153,311.69,0.74,0.76,2021-07-27,1931,N20,VIIRS,n,2,279.22,1.95,N,2
21.18003,105.99299,304.08,0.74,0.76,2021-07-27,1931,N20,VIIRS,n,2,278.82,2.48,N,2
21.1846,105.99087,307.11,0.47,0.64,2021-08-02,1918,N20,VIIRS,n,2,283.39,1.27,N,0
21.18142,105.99087,307.69,0.46,0.47,2021-08-03,1900,N20,VIIRS,n,2,277.2,1.1,N,2
21.42361,105.89536,336.06,0.39,0.37,2021-08-04,0612,N20,VIIRS,n,2,304.23,5.43,D,0
21.20086,105.99765,331.18,0.4,0.37,2021-08-04,0612,N20,VIIRS,l,2,302.54,6.73,D,0
21.20312,105.98953,332.22,0.4,0.37,2021-08-04,0612,N20,VIIRS,l,2,304.11,5.16,D,0
21.24052,105.96403,335.25,0.4,0.37,2021-08-04,0612,N20,VIIRS,n,2,304.96,1.99,D,0
21.33697,105.92873,330.42,0.4,0.37,2021-08-04,0612,N20,VIIRS,l,2,302.27,2.05,D,0
21.46037,105.88932,337.63,0.39,0.37,2021-08-04,0612,N20,VIIRS,n,2,305.21,6.69,D,0
21.47943,105.86282,331.54,0.39,0.37,2021-08-04,0612,N20,VIIRS,l,2,301.84,2.61,D,0
21.18189,105.99174,319.22,0.38,0.36,2021-08-15,1834,N20,VIIRS,n,2,277.42,2.08,N,2
21.18984,105.83514,307.14,0.45,0.47,2021-08-19,1900,N20,VIIRS,n,2,288.44,2.47,N,0
21.18646,105.83553,308.58,0.45,0.47,2021-08-19,1900,N20,VIIRS,n,2,288.42,2.58,N,0
21.24054,105.96495,337.43,0.4,0.37,2021-08-20,0612,N20,VIIRS,n,2,301.04,6.99,D,0
21.1828,105.99319,314.4,0.41,0.37,2021-08-20,1841,N20,VIIRS,n,2,290.28,2.97,N,2
21.1427,105.86927,342.92,0.47,0.4,2021-08-21,0553,N20,VIIRS,n,2,301.03,6.1,D,0
21.18255,105.99316,337.87,0.44,0.39,2021-08-21,1822,N20,VIIRS,n,2,294.39,5.73,N,2
21.16775,105.91656,308.5,0.45,0.39,2021-08-21,1822,N20,VIIRS,n,2,293.77,0.78,N,0
21.22123,105.99934,367,0.41,0.37,2021-08-26,0559,N20,VIIRS,h,2,294.6,16.85,D,0
21.18135,105.99393,306.37,0.56,0.43,2021-08-30,1853,N20,VIIRS,n,2,290.57,2.06,N,2
21.07777,105.94927,330.82,0.38,0.36,2021-08-31,0605,N20,VIIRS,n,2,299.14,3.88,D,0
21.45989,105.88796,333.15,0.47,0.4,2021-09-06,0553,N20,VIIRS,l,2,298.46,2.99,D,0
21.17785,106.01666,316.69,0.44,0.39,2021-09-06,1822,N20,VIIRS,n,2,292.11,1.71,N,0
21.17974,105.99065,318.84,0.44,0.39,2021-09-22,1822,N20,VIIRS,n,2,290.18,1.95,N,0
21.18214,105.99226,314.73,0.46,0.39,2021-09-26,1847,N20,VIIRS,n,2,289.62,1.71,N,2
21.33251,105.87328,331.02,0.41,0.37,2021-09-27,0559,N20,VIIRS,n,2,297.15,2.45,D,0
21.46181,105.89013,333.9,0.41,0.37,2021-09-27,0559,N20,VIIRS,n,2,302.55,7.55,D,0
21.18283,105.99117,325.67,0.4,0.37,2021-09-27,1828,N20,VIIRS,n,2,290.15,2.92,N,2
21.18136,105.99007,335.81,0.44,0.46,2021-09-28,1809,N20,VIIRS,n,2,292.28,5.24,N,2
21.26726,106.06942,367,0.35,0.57,2021-09-30,0643,N20,VIIRS,h,2,295.51,8.51,D,0
21.18407,105.99417,306.58,0.56,0.43,2021-10-01,1853,N20,VIIRS,n,2,289.84,2.01,N,2
21.18018,105.99335,305.14,0.56,0.43,2021-10-01,1853,N20,VIIRS,n,2,288.8,1.12,N,2
21.26527,106.06929,336.55,0.4,0.37,2021-10-07,0611,N20,VIIRS,n,2,302.57,5.97,D,0
21.2707,106.06968,331.56,0.41,0.37,2021-10-07,1840,N20,VIIRS,n,2,283.39,2.16,N,0
21.26733,106.06904,313.71,0.41,0.37,2021-10-07,1840,N20,VIIRS,n,2,282.23,2.16,N,0
21.26668,106.07294,319.01,0.41,0.37,2021-10-07,1840,N20,VIIRS,n,2,282.66,2.16,N,0
21.09791,105.99878,330.29,0.47,0.4,2021-10-08,0553,N20,VIIRS,l,2,301.28,4.32,D,0
21.07389,105.90778,301.78,0.45,0.39,2021-10-24,1822,N20,VIIRS,n,2,287.24,0.78,N,0
21.16619,105.91755,300.27,0.56,0.52,2021-11-10,1803,N20,VIIRS,n,2,284.71,0.48,N,0
21.49292,106.0903,330.82,0.56,0.69,2021-11-11,0655,N20,VIIRS,n,2,289.4,3.04,D,0
21.17032,105.91502,307.27,0.54,0.42,2021-11-18,1853,N20,VIIRS,n,2,287.38,1.15,N,0
21.26932,106.07244,308.75,0.4,0.37,2021-11-24,1840,N20,VIIRS,n,2,284.81,0.83,N,0
21.41973,105.89554,311.06,0.59,0.7,2021-11-27,1743,N20,VIIRS,n,2,284.88,1.74,N,0
21.42027,105.89738,318.94,0.59,0.7,2021-11-27,1743,N20,VIIRS,n,2,284.74,2.13,N,0
21.20539,106.02518,296.55,0.57,0.69,2021-11-27,1743,N20,VIIRS,n,2,285.58,0.33,N,0
21.16399,105.92071,325.06,0.52,0.5,2021-11-28,0636,N20,VIIRS,n,2,296.06,1.54,D,0
21.49479,106.09143,333.77,0.54,0.51,2021-11-28,0636,N20,VIIRS,n,2,295.41,4.24,D,0
21.48735,105.94019,325.18,0.53,0.5,2021-11-28,0636,N20,VIIRS,n,2,295.34,2.5,D,0
21.20209,106.05666,326.3,0.39,0.36,2021-12-05,0604,N20,VIIRS,n,2,294.71,1.88,D,0
21.17085,106.07893,295.67,0.54,0.42,2021-12-06,1815,N20,VIIRS,n,2,285.49,0.5,N,0
21.18888,106.01335,295.4,0.36,0.57,2021-12-07,1756,N20,VIIRS,n,2,284.27,0.76,N,0
21.19417,106.01398,318.34,0.36,0.57,2021-12-07,1756,N20,VIIRS,n,2,284.78,0.76,N,0
21.3563,105.97469,317.46,0.38,0.36,2021-12-21,1833,N20,VIIRS,n,2,287.89,1.54,N,0
21.21262,105.93808,299.97,0.55,0.43,2021-12-22,1815,N20,VIIRS,n,2,286.61,0.66,N,0
21.18024,106.09968,299.77,0.36,0.57,2021-12-23,1756,N20,VIIRS,n,2,286.98,0.76,N,0
21.08197,105.87345,301.03,0.47,0.47,2022-01-02,1808,N20,VIIRS,n,2,284.93,0.48,N,0
21.21298,105.93467,305.52,0.46,0.47,2022-01-02,1808,N20,VIIRS,n,2,285.49,0.81,N,0
21.21433,105.93509,296.3,0.56,0.69,2022-04-04,1925,N20,VIIRS,n,2,283.77,0.34,N,0
21.47244,106.06557,340.14,0.44,0.38,2022-04-06,0618,N20,VIIRS,n,2,296.54,5.78,D,0
21.46183,105.89082,351.29,0.41,0.37,2022-04-07,0559,N20,VIIRS,l,2,307.55,6.53,D,0
21.06377,106.07815,330.42,0.41,0.37,2022-04-07,0559,N20,VIIRS,l,2,305.22,2.36,D,0
21.05338,105.8433,335.23,0.42,0.38,2022-04-07,0559,N20,VIIRS,l,2,304.34,4.75,D,0
21.20575,105.99976,332.58,0.41,0.37,2022-04-07,0559,N20,VIIRS,l,2,305.62,4.42,D,0
21.3326,105.87395,337.55,0.42,0.37,2022-04-07,0559,N20,VIIRS,n,2,306.18,3.26,D,0
21.21293,105.93716,315.31,0.4,0.37,2022-04-07,1828,N20,VIIRS,n,2,291.52,0.95,N,0
21.16746,105.91766,314.38,0.4,0.37,2022-04-07,1828,N20,VIIRS,n,2,291.62,0.83,N,0
21.20661,105.97947,301.53,0.4,0.37,2022-04-07,1828,N20,VIIRS,n,2,290.51,0.15,N,0
21.21443,105.93652,309.29,0.4,0.37,2022-04-07,1828,N20,VIIRS,n,2,291,0.54,N,0
21.16677,105.91536,311.75,0.45,0.47,2022-04-08,1809,N20,VIIRS,n,2,290.78,1.11,N,0
21.21212,105.93581,312.32,0.46,0.64,2022-04-09,1751,N20,VIIRS,n,2,286.52,0.97,N,0
21.21293,105.93597,313.55,0.45,0.47,2022-04-24,1810,N20,VIIRS,n,2,291.66,1.46,N,0
21.21411,105.93549,302.08,0.4,0.37,2022-05-03,1841,N20,VIIRS,n,2,285.2,0.48,N,0
21.45859,105.89063,346.67,0.48,0.4,2022-05-04,0553,N20,VIIRS,l,2,307.54,19.44,D,0
21.23285,105.99865,367,0.48,0.4,2022-05-04,0553,N20,VIIRS,h,2,301.28,20.28,D,0
21.08351,105.94142,338.71,0.48,0.4,2022-05-04,0553,N20,VIIRS,l,2,306.1,9.44,D,0
21.03271,105.90704,336.21,0.48,0.4,2022-05-04,0553,N20,VIIRS,l,2,305.03,5.04,D,0
21.21384,105.93482,302.75,0.55,0.42,2022-05-31,1816,N20,VIIRS,n,2,286.15,0.99,N,0
21.07579,105.90985,303.38,0.45,0.47,2022-06-03,1900,N20,VIIRS,n,2,280.32,0.78,N,0
21.07195,105.91011,305.44,0.45,0.47,2022-06-03,1900,N20,VIIRS,n,2,279.13,0.85,N,0
21.02843,105.90536,332.41,0.48,0.4,2022-06-21,0553,N20,VIIRS,n,2,300.16,4.54,D,0
21.3322,105.83538,334.61,0.48,0.4,2022-06-21,0553,N20,VIIRS,n,2,301.08,8.69,D,0
21.17899,105.8621,330.25,0.48,0.4,2022-06-21,0553,N20,VIIRS,n,2,297,5.32,D,0
21.20117,105.98999,330.09,0.48,0.4,2022-06-21,0553,N20,VIIRS,n,2,299.28,9,D,0
21.4793,105.86195,330.13,0.43,0.38,2022-06-25,0618,N20,VIIRS,l,2,301.65,4.33,D,0
21.44374,105.88865,339.84,0.43,0.38,2022-06-25,0618,N20,VIIRS,n,2,298.23,3.87,D,0
21.17694,106.06045,335.17,0.4,0.37,2022-07-12,1828,N20,VIIRS,n,2,293.68,5.96,N,0
21.07366,105.90833,304.32,0.35,0.57,2022-07-15,1912,N20,VIIRS,n,2,282.32,0.33,N,0
21.18338,105.99244,296.39,0.36,0.57,2022-07-19,1756,N20,VIIRS,n,2,269.73,0.38,N,0
21.15118,106.06797,331.1,0.39,0.36,2022-07-22,0611,N20,VIIRS,n,2,297.87,4.71,D,0
21.1456,106.07658,330.2,0.39,0.36,2022-07-22,0611,N20,VIIRS,n,2,299.16,2.31,D,0
21.35917,105.87219,330.83,0.48,0.4,2022-07-23,0552,N20,VIIRS,n,2,296.63,5.79,D,0
21.23806,105.96276,335.38,0.52,0.5,2022-07-26,0636,N20,VIIRS,n,2,302.27,4.01,D,0
21.04067,106.05942,330.25,0.43,0.38,2022-07-27,0617,N20,VIIRS,l,2,305.14,1.3,D,0
21.04416,106.05889,331.56,0.43,0.38,2022-07-27,0617,N20,VIIRS,l,2,305.58,3.07,D,0
21.0725,105.91065,322.59,0.45,0.39,2022-07-27,1847,N20,VIIRS,n,2,296.83,1.54,N,0
21.21314,105.93849,309.1,0.54,0.42,2022-08-01,1853,N20,VIIRS,n,2,290.66,1.41,N,0
21.1673,105.9185,310.69,0.38,0.36,2022-08-02,1834,N20,VIIRS,n,2,294.06,0.45,N,0
21.46523,105.89261,330.62,0.39,0.44,2022-08-03,0546,N20,VIIRS,l,2,300.96,3.17,D,0
21.46056,105.88971,335.31,0.39,0.44,2022-08-03,0546,N20,VIIRS,n,2,303.17,7,D,0
21.2145,105.93714,303.1,0.55,0.43,2022-08-03,1815,N20,VIIRS,n,2,277.75,0.52,N,0
21.21199,105.93539,318.44,0.4,0.37,2022-08-07,1840,N20,VIIRS,n,2,292.55,1.42,N,0
